any_sample_inside_raw,direction_as_events_csv,direction_endpoint_rule,displacement_px,end_in_valid_dilated,end_in_valid_raw,final_gate_fail_reason,frame_end,frame_span,frame_start,internal_gap_frames,is_exit_as_events_csv,not_exit_reason_primary,num_detections,overlay_category,passed_post_filter_pre_merge,path_length_px,relaxed_exit_outward,start_in_valid_dilated,start_in_valid_raw,track_id,x_end,x_start,y_end,y_start
False,outside,outside,0.0,False,False,min_track_length,2212,1,2212,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,82,341.0,341.0,36.5,36.5
False,outside,outside,0.0,False,False,min_track_length,2227,1,2227,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,83,1240.5,1240.5,582.0,582.0
True,inside,inside,0.0,True,True,min_track_length,2280,1,2280,0,False,strict_endpoints_both_inside,1,no_exit_length_or_shape,False,0.0,False,True,True,84,478.0,478.0,724.5,724.5
False,outside,outside,0.0,False,False,min_track_length,2287,1,2287,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,85,284.0,284.0,436.0,436.0
False,outside,outside,0.0,False,False,min_track_length,2435,1,2435,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,86,460.0,460.0,584.0,584.0
False,outside,outside,0.0,False,False,min_track_length,2441,1,2441,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,87,893.5,893.5,538.5,538.5
False,outside,outside,0.0,False,False,min_track_length,2466,1,2466,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,88,1006.0,1006.0,715.0,715.0
False,outside,outside,0.0,False,False,min_track_length,2484,1,2484,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,89,570.0,570.0,581.0,581.0
False,outside,outside,0.0,False,False,min_track_length,2540,1,2540,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,90,491.5,491.5,3.5,3.5
False,outside,outside,0.0,False,False,min_track_length,2572,1,2572,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,91,409.5,409.5,574.0,574.0
False,outside,outside,0.0,False,False,min_track_length,2643,1,2643,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,92,340.5,340.5,594.5,594.5
False,outside,outside,594.61,False,False,require_start_or_end_in_valid_region,2679,9,2671,0,False,strict_endpoints_both_outside_never_inside_mask,9,no_exit_gate_final,False,640.67,False,False,False,93,1173.5,829.5,138.5,623.5
False,outside,outside,0.0,False,False,min_track_length,2674,1,2674,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,94,895.0,895.0,544.0,544.0
False,outside,outside,605.44,False,False,require_start_or_end_in_valid_region,2680,7,2674,1,False,strict_endpoints_both_outside_never_inside_mask,6,no_exit_gate_final,False,620.19,False,False,False,95,1245.0,940.0,15.5,538.5
False,outside,outside,42.24,False,False,min_track_length,2676,3,2674,0,False,strict_endpoints_both_outside_never_inside_mask,3,no_exit_length_or_shape,False,44.74,False,False,False,96,940.5,952.5,468.5,509.0
False,outside,outside,241.79,False,False,min_track_length,2679,3,2677,0,False,strict_endpoints_both_outside_never_inside_mask,3,no_exit_length_or_shape,False,241.89,False,False,False,97,1132.5,1052.0,94.0,322.0
False,outside,outside,0.0,False,False,min_track_length,2678,1,2678,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,98,1127.0,1127.0,206.5,206.5
False,outside,outside,0.0,False,False,min_track_length,2678,1,2678,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,99,1140.5,1140.5,193.5,193.5
False,outside,outside,0.0,False,False,min_track_length,2678,1,2678,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,100,1017.0,1017.0,173.0,173.0
False,outside,outside,0.0,False,False,min_track_length,2679,1,2679,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,101,520.5,520.5,586.0,586.0
False,outside,outside,0.0,False,False,min_track_length,2679,1,2679,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,102,1066.0,1066.0,37.5,37.5
False,outside,outside,0.0,False,False,min_track_length,2679,1,2679,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,103,1067.0,1067.0,20.0,20.0
False,outside,outside,0.0,False,False,min_track_length,2745,1,2745,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,104,925.0,925.0,650.5,650.5
False,outside,outside,0.0,False,False,min_track_length,2759,1,2759,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,105,931.5,931.5,298.5,298.5
False,outside,outside,0.0,False,False,min_track_length,2809,1,2809,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,106,361.0,361.0,757.0,757.0
False,outside,outside,0.0,False,False,min_track_length,2829,1,2829,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,107,553.5,553.5,570.5,570.5
False,outside,outside,0.0,False,False,min_track_length,2964,1,2964,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,108,393.5,393.5,87.5,87.5
False,outside,outside,0.0,False,False,min_track_length,2985,1,2985,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,109,408.0,408.0,474.0,474.0
